field_name,semantic_path,page,input_type,pdf_field_type,alignment,multiline,read_only,font_size,max_length,rect_pdf_llx,rect_pdf_lly,rect_pdf_urx,rect_pdf_ury,tooltip,calculation
p4_note_09,additional_notes[8],4,text,text,left,False,False,6.5,500,62.28,367.2,747.72,379.8,Additional Notes row 9,
p4_note_10,additional_notes[9],4,text,text,left,False,False,6.5,500,62.28,352.44,747.72,365.04,Additional Notes row 10,
p4_note_11,additional_notes[10],4,text,text,left,False,False,6.5,500,62.28,337.32,747.72,350.28,Additional Notes row 11,
p4_note_12,additional_notes[11],4,text,text,left,False,False,6.5,500,62.28,322.56,747.72,335.16,Additional Notes row 12,
p4_note_13,additional_notes[12],4,text,text,left,False,False,6.5,500,62.28,307.44,747.72,320.4,Additional Notes row 13,
p4_note_14,additional_notes[13],4,text,text,left,False,False,6.5,500,62.28,292.68,747.72,305.28,Additional Notes row 14,
p4_note_15,additional_notes[14],4,text,text,left,False,False,6.5,500,62.28,277.92,747.72,290.52,Additional Notes row 15,
p4_note_16,additional_notes[15],4,text,text,left,False,False,6.5,500,62.28,262.8,747.72,275.76,Additional Notes row 16,
p4_note_17,additional_notes[16],4,text,text,left,False,False,6.5,500,62.28,248.04,747.72,260.64,Additional Notes row 17,
p4_note_18,additional_notes[17],4,text,text,left,False,False,6.5,500,62.28,233.28,747.72,245.88,Additional Notes row 18,
p4_note_19,additional_notes[18],4,text,text,left,False,False,6.5,500,62.28,218.16,747.72,231.12,Additional Notes row 19,
p4_note_20,additional_notes[19],4,text,text,left,False,False,6.5,500,62.28,203.4,747.72,216.0,Additional Notes row 20,
p4_note_21,additional_notes[20],4,text,text,left,False,False,6.5,500,62.28,188.28,747.72,201.24,Additional Notes row 21,
p4_note_22,additional_notes[21],4,text,text,left,False,False,6.5,500,62.28,173.52,747.72,186.12,Additional Notes row 22,
p4_note_23,additional_notes[22],4,text,text,left,False,False,6.5,500,62.28,158.76,747.72,171.36,Additional Notes row 23,
p4_note_24,additional_notes[23],4,text,text,left,False,False,6.5,500,62.28,143.64,747.72,156.6,Additional Notes row 24,
p4_note_25,additional_notes[24],4,text,text,left,False,False,6.5,500,62.28,128.88,747.72,141.48,Additional Notes row 25,
p4_note_26,additional_notes[25],4,text,text,left,False,False,6.5,500,62.28,113.76,747.72,126.72,Additional Notes row 26,
p4_note_27,additional_notes[26],4,text,text,left,False,False,6.5,500,62.28,99.0,747.72,111.6,Additional Notes row 27,
p4_note_28,additional_notes[27],4,text,text,left,False,False,6.5,500,62.28,83.88,747.72,96.84,Additional Notes row 28,
