field_name,semantic_path,page,input_type,pdf_field_type,alignment,multiline,read_only,font_size,max_length,rect_pdf_llx,rect_pdf_lly,rect_pdf_urx,rect_pdf_ury,tooltip,calculation
p2_reviewer_signature_text,certification.page2.reviewer_signature_text,2,signature_text,text,left,False,False,9,150,435.96,56.16,665.64,78.84,Reviewer Signature (typed),
p3_equipment_hours_14_category,equipment_hours[0].category,3,text,text,center,False,False,6.5,30,50.76,484.56,84.6,500.4,Equipment-hours row 14: Category,
p3_equipment_hours_14_equipment_id,equipment_hours[0].equipment_id,3,text,text,left,False,False,6.5,80,86.76,484.56,165.6,500.4,Equipment-hours row 14: Equipment ID,
p3_equipment_hours_14_operator,equipment_hours[0].operator,3,text,text,left,False,False,6.5,120,167.76,484.56,322.92,500.4,Equipment-hours row 14: Operator,
p3_equipment_hours_14_description,equipment_hours[0].vehicle_equipment_description,3,text,text,left,True,False,6.2,300,325.08,484.56,498.6,500.4,Equipment-hours row 14: Vehicle / Equipment Description,
p3_equipment_hours_14_location,equipment_hours[0].work_location_gps,3,text,text,left,True,False,6.2,300,500.76,484.56,687.6,500.4,Equipment-hours row 14: Work Location / GPS Coordinates,
p3_equipment_hours_14_hours,equipment_hours[0].hours,3,text,text,center,False,False,7,12,689.76,484.56,727.92,500.4,Equipment-hours row 14: Hours,
p3_equipment_hours_14_event_related,equipment_hours[0].event_related,3,boolean_mark,text,center,False,False,9,1,730.08,484.56,755.64,500.4,Equipment-hours row 14: Event Related (enter X for yes),
p3_equipment_hours_15_category,equipment_hours[1].category,3,text,text,center,False,False,6.5,30,50.76,466.2,84.6,482.4,Equipment-hours row 15: Category,
p3_equipment_hours_15_equipment_id,equipment_hours[1].equipment_id,3,text,text,left,False,False,6.5,80,86.76,466.2,165.6,482.4,Equipment-hours row 15: Equipment ID,
p3_equipment_hours_15_operator,equipment_hours[1].operator,3,text,text,left,False,False,6.5,120,167.76,466.2,322.92,482.4,Equipment-hours row 15: Operator,
p3_equipment_hours_15_description,equipment_hours[1].vehicle_equipment_description,3,text,text,left,True,False,6.2,300,325.08,466.2,498.6,482.4,Equipment-hours row 15: Vehicle / Equipment Description,
p3_equipment_hours_15_location,equipment_hours[1].work_location_gps,3,text,text,left,True,False,6.2,300,500.76,466.2,687.6,482.4,Equipment-hours row 15: Work Location / GPS Coordinates,
p3_equipment_hours_15_hours,equipment_hours[1].hours,3,text,text,center,False,False,7,12,689.76,466.2,727.92,482.4,Equipment-hours row 15: Hours,
p3_equipment_hours_15_event_related,equipment_hours[1].event_related,3,boolean_mark,text,center,False,False,9,1,730.08,466.2,755.64,482.4,Equipment-hours row 15: Event Related (enter X for yes),
p3_equipment_hours_16_category,equipment_hours[2].category,3,text,text,center,False,False,6.5,30,50.76,448.2,84.6,464.04,Equipment-hours row 16: Category,
p3_equipment_hours_16_equipment_id,equipment_hours[2].equipment_id,3,text,text,left,False,False,6.5,80,86.76,448.2,165.6,464.04,Equipment-hours row 16: Equipment ID,
p3_equipment_hours_16_operator,equipment_hours[2].operator,3,text,text,left,False,False,6.5,120,167.76,448.2,322.92,464.04,Equipment-hours row 16: Operator,
p3_equipment_hours_16_description,equipment_hours[2].vehicle_equipment_description,3,text,text,left,True,False,6.2,300,325.08,448.2,498.6,464.04,Equipment-hours row 16: Vehicle / Equipment Description,
p3_equipment_hours_16_location,equipment_hours[2].work_location_gps,3,text,text,left,True,False,6.2,300,500.76,448.2,687.6,464.04,Equipment-hours row 16: Work Location / GPS Coordinates,
p3_equipment_hours_16_hours,equipment_hours[2].hours,3,text,text,center,False,False,7,12,689.76,448.2,727.92,464.04,Equipment-hours row 16: Hours,
p3_equipment_hours_16_event_related,equipment_hours[2].event_related,3,boolean_mark,text,center,False,False,9,1,730.08,448.2,755.64,464.04,Equipment-hours row 16: Event Related (enter X for yes),
p3_equipment_hours_17_category,equipment_hours[3].category,3,text,text,center,False,False,6.5,30,50.76,430.2,84.6,446.04,Equipment-hours row 17: Category,
p3_equipment_hours_17_equipment_id,equipment_hours[3].equipment_id,3,text,text,left,False,False,6.5,80,86.76,430.2,165.6,446.04,Equipment-hours row 17: Equipment ID,
p3_equipment_hours_17_operator,equipment_hours[3].operator,3,text,text,left,False,False,6.5,120,167.76,430.2,322.92,446.04,Equipment-hours row 17: Operator,
p3_equipment_hours_17_description,equipment_hours[3].vehicle_equipment_description,3,text,text,left,True,False,6.2,300,325.08,430.2,498.6,446.04,Equipment-hours row 17: Vehicle / Equipment Description,
p3_equipment_hours_17_location,equipment_hours[3].work_location_gps,3,text,text,left,True,False,6.2,300,500.76,430.2,687.6,446.04,Equipment-hours row 17: Work Location / GPS Coordinates,
p3_equipment_hours_17_hours,equipment_hours[3].hours,3,text,text,center,False,False,7,12,689.76,430.2,727.92,446.04,Equipment-hours row 17: Hours,
p3_equipment_hours_17_event_related,equipment_hours[3].event_related,3,boolean_mark,text,center,False,False,9,1,730.08,430.2,755.64,446.04,Equipment-hours row 17: Event Related (enter X for yes),
p3_equipment_hours_18_category,equipment_hours[4].category,3,text,text,center,False,False,6.5,30,50.76,411.84,84.6,428.04,Equipment-hours row 18: Category,
p3_equipment_hours_18_equipment_id,equipment_hours[4].equipment_id,3,text,text,left,False,False,6.5,80,86.76,411.84,165.6,428.04,Equipment-hours row 18: Equipment ID,
p3_equipment_hours_18_operator,equipment_hours[4].operator,3,text,text,left,False,False,6.5,120,167.76,411.84,322.92,428.04,Equipment-hours row 18: Operator,
p3_equipment_hours_18_description,equipment_hours[4].vehicle_equipment_description,3,text,text,left,True,False,6.2,300,325.08,411.84,498.6,428.04,Equipment-hours row 18: Vehicle / Equipment Description,
p3_equipment_hours_18_location,equipment_hours[4].work_location_gps,3,text,text,left,True,False,6.2,300,500.76,411.84,687.6,428.04,Equipment-hours row 18: Work Location / GPS Coordinates,
p3_equipment_hours_18_hours,equipment_hours[4].hours,3,text,text,center,False,False,7,12,689.76,411.84,727.92,428.04,Equipment-hours row 18: Hours,
p3_equipment_hours_18_event_related,equipment_hours[4].event_related,3,boolean_mark,text,center,False,False,9,1,730.08,411.84,755.64,428.04,Equipment-hours row 18: Event Related (enter X for yes),
p3_equipment_hours_19_category,equipment_hours[5].category,3,text,text,center,False,False,6.5,30,50.76,393.84,84.6,409.68,Equipment-hours row 19: Category,
p3_equipment_hours_19_equipment_id,equipment_hours[5].equipment_id,3,text,text,left,False,False,6.5,80,86.76,393.84,165.6,409.68,Equipment-hours row 19: Equipment ID,
p3_equipment_hours_19_operator,equipment_hours[5].operator,3,text,text,left,False,False,6.5,120,167.76,393.84,322.92,409.68,Equipment-hours row 19: Operator,
p3_equipment_hours_19_description,equipment_hours[5].vehicle_equipment_description,3,text,text,left,True,False,6.2,300,325.08,393.84,498.6,409.68,Equipment-hours row 19: Vehicle / Equipment Description,
p3_equipment_hours_19_location,equipment_hours[5].work_location_gps,3,text,text,left,True,False,6.2,300,500.76,393.84,687.6,409.68,Equipment-hours row 19: Work Location / GPS Coordinates,
p3_equipment_hours_19_hours,equipment_hours[5].hours,3,text,text,center,False,False,7,12,689.76,393.84,727.92,409.68,Equipment-hours row 19: Hours,
p3_equipment_hours_19_event_related,equipment_hours[5].event_related,3,boolean_mark,text,center,False,False,9,1,730.08,393.84,755.64,409.68,Equipment-hours row 19: Event Related (enter X for yes),
p3_equipment_hours_total_non_event,equipment_hours_totals.non_event_hours,3,decimal,text,center,False,True,11,12,424.44,371.52,460.8,390.6,Equipment Hours Total Non-Event,sum equipment hours where event_related is false
p3_equipment_hours_total_event,equipment_hours_totals.event_hours,3,decimal,text,center,False,True,11,12,636.48,370.44,673.2,389.16,Equipment Hours Total Event,sum equipment hours where event_related is true
p3_mileage_20_category,equipment_mileage[0].category,3,text,text,center,False,False,6.5,30,50.76,305.28,84.6,319.68,Mileage row 20: Category,
p3_mileage_20_equipment_id,equipment_mileage[0].equipment_id,3,text,text,left,False,False,6.5,80,86.76,305.28,165.6,319.68,Mileage row 20: Equipment ID,
p3_mileage_20_operator,equipment_mileage[0].operator,3,text,text,left,False,False,6.5,120,167.76,305.28,322.92,319.68,Mileage row 20: Operator,
p3_mileage_20_destination,equipment_mileage[0].destination,3,text,text,left,False,False,6.5,250,325.08,305.28,551.88,319.68,Mileage row 20: Destination,
p3_mileage_20_start_odometer,equipment_mileage[0].start_odometer,3,text,text,center,False,False,6.5,15,554.04,305.28,623.88,319.68,Mileage row 20: Start Odometer,
p3_mileage_20_end_odometer,equipment_mileage[0].end_odometer,3,text,text,center,False,False,6.5,15,626.04,305.28,686.88,319.68,Mileage row 20: End Odometer,
p3_mileage_20_miles,equipment_mileage[0].miles,3,text,text,center,False,False,7,12,689.04,305.28,727.2,319.68,Mileage row 20: Miles,
p3_mileage_20_event_related,equipment_mileage[0].event_related,3,boolean_mark,text,center,False,False,9,1,729.36,305.28,755.64,319.68,Mileage row 20: Event Related (enter X for yes),
p3_mileage_21_category,equipment_mileage[1].category,3,text,text,center,False,False,6.5,30,50.76,288.72,84.6,303.12,Mileage row 21: Category,
p3_mileage_21_equipment_id,equipment_mileage[1].equipment_id,3,text,text,left,False,False,6.5,80,86.76,288.72,165.6,303.12,Mileage row 21: Equipment ID,
p3_mileage_21_operator,equipment_mileage[1].operator,3,text,text,left,False,False,6.5,120,167.76,288.72,322.92,303.12,Mileage row 21: Operator,
p3_mileage_21_destination,equipment_mileage[1].destination,3,text,text,left,False,False,6.5,250,325.08,288.72,551.88,303.12,Mileage row 21: Destination,
p3_mileage_21_start_odometer,equipment_mileage[1].start_odometer,3,text,text,center,False,False,6.5,15,554.04,288.72,623.88,303.12,Mileage row 21: Start Odometer,
p3_mileage_21_end_odometer,equipment_mileage[1].end_odometer,3,text,text,center,False,False,6.5,15,626.04,288.72,686.88,303.12,Mileage row 21: End Odometer,
p3_mileage_21_miles,equipment_mileage[1].miles,3,text,text,center,False,False,7,12,689.04,288.72,727.2,303.12,Mileage row 21: Miles,
p3_mileage_21_event_related,equipment_mileage[1].event_related,3,boolean_mark,text,center,False,False,9,1,729.36,288.72,755.64,303.12,Mileage row 21: Event Related (enter X for yes),
p3_mileage_total_non_event,equipment_mileage_totals.non_event_miles,3,decimal,text,center,False,True,11,12,423.36,267.48,460.8,285.48,Mileage Total Non-Event,sum miles where event_related is false
p3_mileage_total_event,equipment_mileage_totals.event_miles,3,decimal,text,center,False,True,11,12,636.48,266.76,673.2,285.48,Mileage Total Event,sum miles where event_related is true
p3_material_22_category,materials[0].category,3,text,text,center,False,False,6,30,50.04,205.56,83.88,220.32,Materials row 22: Category,
p3_material_22_item_description,materials[0].item_description,3,text,text,left,False,False,6.2,200,86.04,205.56,246.24,220.32,Materials row 22: Item Description,
p3_material_22_quantity,materials[0].quantity,3,decimal,text,center,False,False,6.5,15,248.4,205.56,295.92,220.32,Materials row 22: Quantity,
p3_material_22_total_cost,materials[0].total_cost,3,decimal,text,center,False,False,6.5,20,298.08,205.56,345.6,220.32,Materials row 22: Total Cost,
p3_material_22_justification,materials[0].justification,3,text,text,left,True,False,6.0,400,347.76,205.56,597.6,220.32,Materials row 22: Justification,
p3_material_22_invoice_receipt_number,materials[0].invoice_receipt_number,3,text,text,left,False,False,6.2,100,599.76,205.56,727.92,220.32,Materials row 22: Invoice / Receipt Number,
p3_material_22_from_stock,materials[0].from_stock,3,boolean_mark,text,center,False,False,8.5,1,730.08,205.56,755.64,220.32,Materials row 22: From Stock (enter X for yes),
p3_material_23_category,materials[1].category,3,text,text,center,False,False,6,30,50.04,189.0,83.88,203.4,Materials row 23: Category,
p3_material_23_item_description,materials[1].item_description,3,text,text,left,False,False,6.2,200,86.04,189.0,246.24,203.4,Materials row 23: Item Description,
p3_material_23_quantity,materials[1].quantity,3,decimal,text,center,False,False,6.5,15,248.4,189.0,295.92,203.4,Materials row 23: Quantity,
p3_material_23_total_cost,materials[1].total_cost,3,decimal,text,center,False,False,6.5,20,298.08,189.0,345.6,203.4,Materials row 23: Total Cost,
p3_material_23_justification,materials[1].justification,3,text,text,left,True,False,6.0,400,347.76,189.0,597.6,203.4,Materials row 23: Justification,
p3_material_23_invoice_receipt_number,materials[1].invoice_receipt_number,3,text,text,left,False,False,6.2,100,599.76,189.0,727.92,203.4,Materials row 23: Invoice / Receipt Number,
p3_material_23_from_stock,materials[1].from_stock,3,boolean_mark,text,center,False,False,8.5,1,730.08,189.0,755.64,203.4,Materials row 23: From Stock (enter X for yes),
p3_material_24_category,materials[2].category,3,text,text,center,False,False,6,30,50.04,172.44,83.88,186.84,Materials row 24: Category,
p3_material_24_item_description,materials[2].item_description,3,text,text,left,False,False,6.2,200,86.04,172.44,246.24,186.84,Materials row 24: Item Description,
p3_material_24_quantity,materials[2].quantity,3,decimal,text,center,False,False,6.5,15,248.4,172.44,295.92,186.84,Materials row 24: Quantity,
