Rank,Product,Brand,"Overall Score",Capability,Usability,Affordability,Maintainability,Deployability,"Advance Yes","Advance No","Deal Breakers",Responses
1,"12-inch Cut-Off Saw (Dewalt DCPS612AG2)",Dewalt,90.46,96,89.43,85.5,87.56,92,5,0,0,5
2,"14"" Cut off saw (Makita GEC01PL4)",Makita,63.58,68.78,65.51,53.93,62.54,62.5,2,2,0,7
3,"14"" Cut off saw (Husqvarna K1 Pace)",Husqvarna,57.74,58.81,64.29,44.17,57.78,66.25,2,1,0,6
