Rank,Product,Manufacturer,Model,"Overall Score",Responses,"Meets Threshold"
1,"12-inch Cut-Off Saw",Dewalt,DCPS612AG2,90.46,5,Yes
2,T1,Holmatro,T1,76.19,8,Yes
3,"14"" Cut off saw",Makita,GEC01PL4,63.58,7,Yes
4,"14"" Cut off saw",Husqvarna,"K1 Pace",57.74,6,Yes
