Category,Rank,Product,Manufacturer,"Avg Score",Responses
"Forcible Entry Tools",1,"12-inch Cut-Off Saw",Dewalt,90.46,5
"Forcible Entry Tools",2,T1,Holmatro,76.19,8
"Battery-Operated Extrication Tools",1,"Battery powered spreader",Holmatro,87.63,8
"Battery-Operated Extrication Tools",2,"Battery powered ram",Holmatro,87.31,8
"Vehicle Stabilization",1,"Vehicle Stabilization Strut",Holmatro,87.28,5
"Vehicle Stabilization",2,Omnishore,Holmatro,85.87,6
