Rank,Product,Brand,Overall,Capability,Usability,Affordability,Maintainability,Deployability,"Advance Yes","Advance No","Deal Breakers",Responses
1,"Battery powered spreader (Holmatro PSP40)",Holmatro,87.63,91.07,95.71,67.81,89.72,91.56,7,0,0,8
2,"Battery powered 32"" Spreader (Hurst SP 777 E3 Spreader)",Hurst,85.72,91.61,93.39,62.19,88.33,90.63,7,0,0,8
3,"Battery powered spreader (TNT ES100-28-20V)",TNT,81.1,80,82.57,84,75.56,84,4,1,0,5
4,"Battery powered spreader (Amkus 32"" Spreader)",Amkus,78.91,87.86,70.95,82.5,73.33,75.42,4,1,0,6
5,"Battery powered 40"" spreader (Hurst M40)",Hurst,75.59,83.39,79.29,57.19,77.22,75.31,5,2,0,8
