Rank,Brand,"Overall Avg",Tools,Capability,Usability,Affordability,Maintainability,Deployability
1,Holmatro,85.95,3,89.41,93.99,64.9,89.82,89.69
2,Hurst,80.33,4,87.56,85.76,59.11,82.58,82.74
3,Amkus,75.31,3,84.21,66.98,79.44,69.14,73.89
4,TNT,75,3,74.67,78.38,75.67,65.78,81.67
